time	V(in)	V(out)	V(x1:n012)	V(x1:n013)
3.498996250246696e-009	8.000000e-001	2.800030e+000	2.013754e-008	7.999877e-001
3.593952364026041e-009	8.000000e-001	2.800015e+000	1.241860e-008	7.999966e-001
3.714444466262528e-009	8.000000e-001	2.799989e+000	2.016446e-008	7.999973e-001
3.899991341262528e-009	8.000000e-001	2.800002e+000	1.293421e-008	7.999996e-001
4.085538216262528e-009	8.000000e-001	2.800000e+000	1.365872e-008	7.999995e-001
4.271085091262528e-009	8.000000e-001	2.800002e+000	1.362785e-008	7.999999e-001
4.456631966262528e-009	8.000000e-001	2.799999e+000	9.978649e-009	8.000010e-001
4.642178841262528e-009	8.000000e-001	2.800001e+000	8.050719e-009	8.000013e-001
4.827725716262528e-009	8.000000e-001	2.800000e+000	1.218947e-008	8.000004e-001
5.013272591262528e-009	8.000000e-001	2.800001e+000	1.509986e-008	8.000000e-001
5.198819466262528e-009	8.000000e-001	2.800000e+000	1.612276e-008	8.000001e-001
5.384366341262527e-009	8.000000e-001	2.800001e+000	1.376888e-008	8.000003e-001
5.569913216262527e-009	8.000000e-001	2.800000e+000	1.177222e-008	8.000002e-001
5.755460091262527e-009	8.000000e-001	2.800000e+000	1.053417e-008	8.000001e-001
5.941006966262527e-009	8.000000e-001	2.800000e+000	1.100957e-008	8.000000e-001
6.126553841262527e-009	8.000000e-001	2.800000e+000	1.114164e-008	8.000000e-001
6.312100716262527e-009	8.000000e-001	2.800000e+000	1.239728e-008	8.000000e-001
6.497647591262527e-009	8.000000e-001	2.800000e+000	1.363395e-008	8.000000e-001
6.683194466262527e-009	8.000000e-001	2.800000e+000	1.353220e-008	8.000000e-001
6.868741341262526e-009	8.000000e-001	2.800000e+000	9.167710e-009	8.000001e-001
7.054288216262526e-009	8.000000e-001	2.800000e+000	5.076874e-009	8.000002e-001
7.239835091262526e-009	8.000000e-001	2.800000e+000	2.290999e-009	8.000004e-001
7.425381966262526e-009	8.000000e-001	2.800000e+000	1.818218e-009	8.000009e-001
7.610928841262527e-009	8.000000e-001	2.800000e+000	-3.074341e-010	8.000018e-001
7.796475716262527e-009	8.000000e-001	2.800000e+000	-1.548401e-009	8.000029e-001
7.982022591262527e-009	8.000000e-001	2.800000e+000	-4.702763e-010	8.000052e-001
8.167569466262526e-009	8.000000e-001	2.800000e+000	1.197566e-009	8.000079e-001
8.353116341262526e-009	8.000000e-001	2.800000e+000	2.657222e-009	8.000082e-001
8.538663216262526e-009	8.000000e-001	2.800000e+000	3.824461e-009	7.999987e-001
8.724210091262526e-009	8.000000e-001	2.800000e+000	4.051522e-009	7.999605e-001
8.909756966262526e-009	8.000000e-001	2.800000e+000	4.128674e-009	7.998659e-001
9.095303841262526e-009	8.000000e-001	2.800000e+000	2.702921e-009	7.997251e-001
9.280850716262526e-009	8.000000e-001	2.800000e+000	-5.361185e-009	7.993476e-001
9.466397591262526e-009	8.000000e-001	2.800000e+000	-1.585770e-008	7.986846e-001
9.651944466262525e-009	8.000000e-001	2.800000e+000	1.438567e-008	8.009694e-001
9.837491341262525e-009	8.000000e-001	2.800000e+000	2.243397e-008	8.196710e-001
1.002303821626253e-008	8.000000e-001	2.800000e+000	-1.769706e-007	8.036475e-001
1.020858509126253e-008	8.000000e-001	2.800004e+000	-3.700545e-007	5.703256e-001
1.038262424406821e-008	8.000000e-001	2.800005e+000	-1.805468e-007	1.628990e-001
1.048963505229024e-008	8.000000e-001	2.800002e+000	-3.954371e-007	1.386797e-002
1.061544537222744e-008	8.000000e-001	2.799999e+000	-1.250987e-006	-9.552601e-005
1.075234094944584e-008	8.000000e-001	2.799998e+000	-2.584924e-006	1.042013e-003
1.089743322546944e-008	8.000000e-001	2.799999e+000	-4.697107e-006	-2.455677e-004
1.108298010046944e-008	8.000000e-001	2.800000e+000	-4.632280e-006	3.198681e-004
1.126852697546944e-008	8.000000e-001	2.800000e+000	6.550188e-006	6.114691e-005
1.145407385046944e-008	8.000000e-001	2.800000e+000	4.180014e-005	1.868076e-004
1.163962072546944e-008	8.000000e-001	2.800000e+000	9.367200e-005	4.354509e-005
1.182516760046944e-008	8.000000e-001	2.800000e+000	1.320742e-004	1.224677e-004
1.201071447546944e-008	8.000000e-001	2.800000e+000	5.041606e-005	3.903522e-005
1.219626135046944e-008	8.000000e-001	2.800000e+000	-1.400292e-004	8.685721e-005
1.238180822546944e-008	8.000000e-001	2.800000e+000	-2.064075e-004	3.690030e-005
1.256735510046944e-008	8.000000e-001	2.800000e+000	-7.231832e-005	6.543493e-005
1.275290197546944e-008	8.000000e-001	2.800000e+000	4.884837e-005	3.498391e-005
1.293844885046944e-008	8.000000e-001	2.800000e+000	3.073244e-005	5.162405e-005
1.312399572546944e-008	8.000000e-001	2.800000e+000	3.621653e-006	3.267727e-005
1.330954260046944e-008	8.000000e-001	2.800000e+000	6.051911e-006	4.226793e-005
1.349508947546944e-008	8.000000e-001	2.800000e+000	2.341674e-006	3.019601e-005
1.368063635046944e-008	8.000000e-001	2.800000e+000	2.488808e-006	3.540409e-005
1.386618322546944e-008	8.000000e-001	2.800000e+000	1.440885e-006	2.785436e-005
1.405173010046944e-008	8.000000e-001	2.800001e+000	1.404828e-006	3.106126e-005
1.423727697546944e-008	8.000000e-001	2.800001e+000	9.621522e-007	2.630509e-005
1.442282385046944e-008	8.000000e-001	2.800001e+000	9.227570e-007	2.761683e-005
1.460837072546944e-008	8.000000e-001	2.800002e+000	6.642895e-007	2.407018e-005
1.479391760046944e-008	8.000000e-001	2.800002e+000	6.342202e-007	2.447844e-005
1.497946447546944e-008	8.000000e-001	2.800002e+000	4.856020e-007	2.203882e-005
1.516501135046944e-008	8.000000e-001	2.800002e+000	4.694961e-007	2.204278e-005
1.535055822546944e-008	8.000000e-001	2.800002e+000	3.745900e-007	2.029003e-005
1.553610510046944e-008	8.000000e-001	2.800002e+000	3.577399e-007	2.003246e-005
1.572165197546944e-008	8.000000e-001	2.800002e+000	2.962849e-007	1.873301e-005
1.590719885046944e-008	8.000000e-001	2.800002e+000	2.817340e-007	1.837286e-005
1.609274572546944e-008	8.000000e-001	2.800002e+000	2.406316e-007	1.738268e-005
1.627829260046944e-008	8.000000e-001	2.800002e+000	2.280010e-007	1.696661e-005
1.646383947546944e-008	8.000000e-001	2.800002e+000	1.996736e-007	1.618561e-005
1.683493322546944e-008	8.000000e-001	2.800003e+000	1.687288e-007	1.504164e-005
1.720602697546944e-008	8.000000e-001	2.800004e+000	1.448802e-007	1.410519e-005
1.757712072546944e-008	8.000000e-001	2.800004e+000	1.259532e-007	1.326684e-005
1.776266760046944e-008	8.000000e-001	2.800002e+000	1.191293e-007	1.290579e-005
1.794821447546944e-008	8.000000e-001	2.799999e+000	1.106927e-007	1.251413e-005
1.831930822546944e-008	8.000000e-001	2.799995e+000	9.770011e-008	1.183583e-005
1.850485510046944e-008	8.000000e-001	2.799994e+000	9.275499e-008	1.153090e-005
1.869040197546944e-008	8.000000e-001	2.799996e+000	8.746150e-008	1.122238e-005
1.887594885046944e-008	8.000000e-001	2.800001e+000	8.323673e-008	1.094294e-005
1.906149572546944e-008	8.000000e-001	2.800000e+000	7.889537e-008	1.066530e-005
1.924704260046944e-008	8.000000e-001	2.799996e+000	7.527811e-008	1.040928e-005
1.943258947546944e-008	8.000000e-001	2.799997e+000	7.166503e-008	1.015774e-005
1.961813635046944e-008	8.000000e-001	2.799996e+000	6.855535e-008	9.922855e-006
1.980368322546944e-008	8.000000e-001	2.799996e+000	6.551079e-008	9.693733e-006
1.998923010046944e-008	8.000000e-001	2.799997e+000	6.282627e-008	9.477753e-006
2.017477697546944e-008	8.000000e-001	2.799997e+000	6.023214e-008	9.268024e-006
2.036032385046944e-008	8.000000e-001	2.799998e+000	5.790408e-008	9.069032e-006
2.054587072546944e-008	8.000000e-001	2.799998e+000	5.567334e-008	8.876264e-006
2.073141760046944e-008	8.000000e-001	2.799998e+000	5.364460e-008	8.692503e-006
2.091696447546944e-008	8.000000e-001	2.799999e+000	5.171086e-008	8.514703e-006
2.110251135046944e-008	8.000000e-001	2.799999e+000	4.993445e-008	8.344598e-006
2.128805822546944e-008	8.000000e-001	2.799999e+000	4.824631e-008	8.180094e-006
2.147360510046944e-008	8.000000e-001	2.799999e+000	4.668352e-008	8.022257e-006
2.165915197546944e-008	8.000000e-001	2.799999e+000	4.520054e-008	7.869623e-006
2.184469885046944e-008	8.000000e-001	2.800000e+000	4.381940e-008	7.722839e-006
2.203024572546944e-008	8.000000e-001	2.800000e+000	4.250935e-008	7.580850e-006
2.221579260046944e-008	8.000000e-001	2.800000e+000	4.128339e-008	7.444047e-006
2.258688635046944e-008	8.000000e-001	2.800000e+000	3.902749e-008	7.183901e-006
2.314352697546944e-008	8.000000e-001	2.800000e+000	3.608277e-008	6.824697e-006
2.362064751118372e-008	8.000000e-001	2.800000e+000	3.398979e-008	6.547960e-006
2.409776804689801e-008	8.000000e-001	2.800000e+000	3.207955e-008	6.287756e-006
2.457488858261229e-008	8.000000e-001	2.800000e+000	3.035206e-008	6.044085e-006
2.505200911832658e-008	8.000000e-001	2.800000e+000	2.880730e-008	5.816947e-006
2.552912965404087e-008	8.000000e-001	2.800000e+000	2.744529e-008	5.606342e-006
2.600625018975515e-008	8.000000e-001	2.800000e+000	2.626603e-008	5.412270e-006
2.648337072546943e-008	8.000000e-001	2.800000e+000	2.526950e-008	5.234731e-006
2.791473233261231e-008	8.000000e-001	2.800000e+000	2.294995e-008	4.783447e-006
2.934609393975518e-008	8.000000e-001	2.800000e+000	2.094417e-008	4.378538e-006
3.077745554689805e-008	8.000000e-001	2.800000e+000	1.925218e-008	4.020006e-006
3.220881715404093e-008	8.000000e-001	2.800000e+000	1.787396e-008	3.707849e-006
3.364017876118380e-008	8.000000e-001	2.800000e+000	1.680952e-008	3.442069e-006
3.507154036832668e-008	8.000000e-001	2.800000e+000	1.605886e-008	3.222664e-006
3.650290197546955e-008	8.000000e-001	2.800000e+000	1.562198e-008	3.049635e-006
3.835837072546958e-008	8.000000e-001	2.800000e+000	1.499851e-008	2.837858e-006
4.021383947546961e-008	8.000000e-001	2.800000e+000	1.444886e-008	2.645054e-006
4.206930822546965e-008	8.000000e-001	2.800000e+000	1.397302e-008	2.471222e-006
4.392477697546968e-008	8.000000e-001	2.800000e+000	1.357101e-008	2.316362e-006
4.578024572546971e-008	8.000000e-001	2.800000e+000	1.324281e-008	2.180474e-006
4.763571447546974e-008	8.000000e-001	2.800000e+000	1.298842e-008	2.063558e-006
4.949118322546977e-008	8.000000e-001	2.800000e+000	1.280786e-008	1.965615e-006
4.967673010046978e-008	8.000000e-001	2.800000e+000	1.278764e-008	1.955627e-006
5.045021638308739e-008	8.000000e-001	2.800000e+000	1.270651e-008	1.915030e-006
5.050000000000000e-008	8.000000e-001	2.800000e+000	1.270146e-008	1.912474e-006
5.050497836169126e-008	7.920346e-001	2.800000e+000	-1.944251e-005	1.103713e-006
5.051493508507377e-008	7.761039e-001	2.800000e+000	-3.829108e-005	4.449518e-007
5.053484853183882e-008	7.442424e-001	2.800000e+000	-3.729842e-005	7.157926e-007
5.057467542536891e-008	6.805193e-001	2.800000e+000	-1.796340e-005	1.590394e-006
5.065432921242908e-008	5.530733e-001	2.800000e+000	-3.754874e-006	2.066938e-006
5.081445312499999e-008	2.968750e-001	2.800000e+000	4.619269e-006	2.244809e-006
5.082588186330790e-008	2.785890e-001	2.800000e+000	2.252460e-006	2.107091e-006
5.083894327851694e-008	2.576908e-001	2.800000e+000	7.735450e-006	2.310467e-006
5.086506610893501e-008	2.158942e-001	2.800000e+000	3.191744e-005	3.158125e-006
5.091731176977116e-008	1.323012e-001	2.800000e+000	1.075944e-004	5.439887e-006
5.100000000000000e-008	0.000000e+000	2.800000e+000	2.553150e-004	9.252451e-006
5.100826882302288e-008	0.000000e+000	2.800000e+000	2.791653e-004	9.706035e-006
5.102480646906865e-008	0.000000e+000	2.800000e+000	2.768199e-004	8.523194e-006
5.105788176116018e-008	0.000000e+000	2.800000e+000	2.164732e-004	4.829910e-006
5.112403234534325e-008	0.000000e+000	2.800000e+000	1.563171e-004	1.762087e-006
5.125633351370939e-008	0.000000e+000	2.800000e+000	1.916892e-004	1.858518e-006
5.144188038870940e-008	0.000000e+000	2.800000e+000	2.575738e-004	1.163860e-006
5.162742726370940e-008	0.000000e+000	2.800000e+000	2.262751e-004	-6.770006e-006
5.181297413870940e-008	0.000000e+000	2.800000e+000	-2.872562e-003	-2.941268e-005
5.199852101370940e-008	0.000000e+000	2.800000e+000	-1.990378e-002	-5.680724e-005
5.218406788870941e-008	0.000000e+000	2.800000e+000	5.485107e-002	-6.502397e-005
5.236961476370941e-008	0.000000e+000	2.800000e+000	3.630072e-001	-5.090103e-005
5.250767122099412e-008	0.000000e+000	2.800000e+000	6.437290e-001	1.035957e-005
5.263007174951642e-008	0.000000e+000	2.800000e+000	7.720917e-001	1.227370e-004
5.272204314945282e-008	0.000000e+000	2.800000e+000	7.929155e-001	1.504333e-004
5.282410166548370e-008	0.000000e+000	2.800000e+000	7.971272e-001	8.554482e-005
5.292344194420364e-008	0.000000e+000	2.799992e+000	7.989739e-001	3.290709e-005
5.304189187073552e-008	0.000000e+000	2.799788e+000	7.997960e-001	9.707148e-006
5.313176272077567e-008	0.000000e+000	2.800003e+000	7.999285e-001	3.658050e-006
5.324461270908718e-008	0.000000e+000	2.803010e+000	7.999697e-001	2.419968e-006
5.332152924697597e-008	0.000000e+000	2.803505e+000	7.999815e-001	2.338960e-006
5.342240883008231e-008	0.000000e+000	2.793782e+000	7.999868e-001	1.958705e-006
5.351598323850378e-008	0.000000e+000	2.765117e+000	7.999852e-001	8.295221e-007
5.360532669482583e-008	0.000000e+000	2.744494e+000	7.999907e-001	1.664536e-006
5.373080519765976e-008	0.000000e+000	2.902326e+000	7.999963e-001	2.014633e-006
5.384624349095492e-008	0.000000e+000	3.240516e+000	7.999998e-001	1.794895e-006
5.398532668991721e-008	0.000000e+000	3.535417e+000	7.999991e-001	1.859958e-006
5.413501540809214e-008	0.000000e+000	3.600648e+000	8.000000e-001	1.760791e-006
5.432056228309214e-008	0.000000e+000	3.599540e+000	7.999995e-001	1.762831e-006
5.449840292935456e-008	0.000000e+000	3.600204e+000	8.000005e-001	1.731866e-006
5.468394980435456e-008	0.000000e+000	3.599759e+000	8.000014e-001	1.733283e-006
5.486949667935456e-008	0.000000e+000	3.600075e+000	8.000008e-001	1.722663e-006
5.505504355435457e-008	0.000000e+000	3.599893e+000	8.000000e-001	1.710934e-006
5.524059042935457e-008	0.000000e+000	3.600042e+000	8.000000e-001	1.699422e-006
5.542613730435457e-008	0.000000e+000	3.599949e+000	8.000001e-001	1.694349e-006
5.561168417935458e-008	0.000000e+000	3.600022e+000	8.000003e-001	1.682168e-006
5.579723105435458e-008	0.000000e+000	3.599975e+000	8.000002e-001	1.674814e-006
5.598277792935458e-008	0.000000e+000	3.600012e+000	8.000001e-001	1.666004e-006
5.616832480435459e-008	0.000000e+000	3.599987e+000	8.000000e-001	1.659772e-006
5.635387167935459e-008	0.000000e+000	3.600007e+000	8.000001e-001	1.652438e-006
5.653941855435459e-008	0.000000e+000	3.599993e+000	8.000000e-001	1.647171e-006
5.672496542935459e-008	0.000000e+000	3.600003e+000	8.000000e-001	1.641322e-006
5.691051230435460e-008	0.000000e+000	3.599996e+000	8.000000e-001	1.634242e-006
5.709605917935460e-008	0.000000e+000	3.600002e+000	8.000002e-001	1.625574e-006
5.728160605435460e-008	0.000000e+000	3.599998e+000	8.000003e-001	1.618913e-006
5.746715292935461e-008	0.000000e+000	3.600001e+000	8.000007e-001	1.613006e-006
5.765269980435461e-008	0.000000e+000	3.599999e+000	8.000013e-001	1.607230e-006
5.783824667935461e-008	0.000000e+000	3.600001e+000	8.000023e-001	1.599571e-006
5.802379355435462e-008	0.000000e+000	3.599999e+000	8.000039e-001	1.592931e-006
5.820934042935462e-008	0.000000e+000	3.600000e+000	8.000067e-001	1.586153e-006
5.839488730435462e-008	0.000000e+000	3.599999e+000	8.000088e-001	1.577895e-006
5.858043417935463e-008	0.000000e+000	3.600000e+000	8.000053e-001	1.568407e-006
5.876598105435463e-008	0.000000e+000	3.600000e+000	7.999841e-001	1.558399e-006
5.895152792935463e-008	0.000000e+000	3.600000e+000	7.999197e-001	1.548975e-006
5.913707480435464e-008	0.000000e+000	3.600000e+000	7.997969e-001	1.542088e-006
5.932262167935464e-008	0.000000e+000	3.600000e+000	7.996039e-001	1.535378e-006
5.950816855435464e-008	0.000000e+000	3.600000e+000	7.989756e-001	1.526493e-006
5.969371542935464e-008	0.000000e+000	3.600000e+000	7.989433e-001	1.534869e-006
5.987926230435464e-008	0.000000e+000	3.600000e+000	8.065382e-001	1.563406e-006
6.006480917935463e-008	0.000000e+000	3.599999e+000	8.302827e-001	1.502406e-006
6.025035605435463e-008	0.000000e+000	3.600001e+000	7.854206e-001	1.330522e-006
6.038084670655751e-008	0.000000e+000	3.600006e+000	5.512770e-001	1.420544e-006
6.053043915145782e-008	0.000000e+000	3.600008e+000	1.421040e-001	1.713604e-006
6.062907308860378e-008	0.000000e+000	3.599998e+000	7.904657e-003	1.616190e-006
6.074146026390468e-008	0.000000e+000	3.599994e+000	-2.494903e-004	1.444150e-006
6.088332845096083e-008	0.000000e+000	3.600000e+000	7.661592e-004	1.491102e-006
6.105057396553470e-008	0.000000e+000	3.599999e+000	3.205864e-005	1.463452e-006
6.123612084053470e-008	0.000000e+000	3.600000e+000	2.299438e-004	1.438836e-006
6.142166771553470e-008	0.000000e+000	3.600000e+000	6.951956e-005	1.442915e-006
6.160721459053469e-008	0.000000e+000	3.600000e+000	1.439548e-004	1.401565e-006
6.179276146553469e-008	0.000000e+000	3.600000e+000	5.401621e-005	1.296939e-006
6.197830834053469e-008	0.000000e+000	3.600000e+000	1.000488e-004	1.067396e-006
6.216385521553468e-008	0.000000e+000	3.600000e+000	4.699166e-005	6.200689e-007
6.234940209053468e-008	0.000000e+000	3.600000e+000	7.448642e-005	-7.863494e-007
6.253494896553468e-008	0.000000e+000	3.600000e+000	4.227286e-005	-3.314890e-006
6.272049584053467e-008	0.000000e+000	3.600000e+000	5.828647e-005	-3.155561e-006
6.290604271553467e-008	0.000000e+000	3.600000e+000	3.830599e-005	8.318221e-006
6.309158959053467e-008	0.000000e+000	3.600000e+000	4.738093e-005	4.405372e-005
6.327713646553466e-008	0.000000e+000	3.600000e+000	3.473342e-005	9.597647e-005
6.346268334053466e-008	0.000000e+000	3.600000e+000	3.967160e-005	1.337695e-004
6.364823021553466e-008	0.000000e+000	3.600000e+000	3.150680e-005	5.104317e-005
6.383377709053465e-008	0.000000e+000	3.600000e+000	3.400836e-005	-1.404501e-004
6.401932396553465e-008	0.000000e+000	3.600000e+000	2.859482e-005	-2.058760e-004
6.420487084053465e-008	0.000000e+000	3.600000e+000	2.974062e-005	-6.979026e-005
6.439041771553464e-008	0.000000e+000	3.600000e+000	2.610097e-005	5.068921e-005
6.457596459053464e-008	0.000000e+000	3.600001e+000	2.637644e-005	3.164907e-005
6.476151146553464e-008	0.000000e+000	3.600001e+000	2.380262e-005	4.950063e-006
6.494705834053463e-008	0.000000e+000	3.600001e+000	2.377999e-005	7.437987e-006
6.513260521553463e-008	0.000000e+000	3.600001e+000	2.202434e-005	3.721620e-006
6.531815209053463e-008	0.000000e+000	3.600001e+000	2.166029e-005	3.874210e-006
6.550369896553462e-008	0.000000e+000	3.600001e+000	2.023774e-005	2.824103e-006
6.568924584053462e-008	0.000000e+000	3.600001e+000	1.977722e-005	2.777114e-006
6.587479271553462e-008	0.000000e+000	3.600000e+000	1.868793e-005	2.302601e-006
6.606033959053461e-008	0.000000e+000	3.600000e+000	1.818729e-005	2.260690e-006
6.624588646553461e-008	0.000000e+000	3.600000e+000	1.732523e-005	2.000290e-006
6.643143334053461e-008	0.000000e+000	3.600000e+000	1.678854e-005	1.969361e-006
6.661698021553460e-008	0.000000e+000	3.600000e+000	1.603877e-005	1.813139e-006
6.680252709053460e-008	0.000000e+000	3.600000e+000	1.556728e-005	1.790210e-006
6.717362084053459e-008	0.000000e+000	3.600000e+000	1.454766e-005	1.671165e-006
6.754471459053458e-008	0.000000e+000	3.600000e+000	1.364719e-005	1.583451e-006
6.773026146553458e-008	0.000000e+000	3.600000e+000	1.321563e-005	1.533987e-006
6.791580834053458e-008	0.000000e+000	3.599999e+000	1.284634e-005	1.517077e-006
6.810135521553457e-008	0.000000e+000	3.599998e+000	1.246635e-005	1.485535e-006
6.847244896553457e-008	0.000000e+000	3.599988e+000	1.179166e-005	1.446526e-006
6.865799584053456e-008	0.000000e+000	3.599966e+000	1.148484e-005	1.432731e-006
6.884354271553456e-008	0.000000e+000	3.599930e+000	1.118172e-005	1.414271e-006
6.902908959053456e-008	0.000000e+000	3.599908e+000	1.090182e-005	1.401893e-006
6.921463646553455e-008	0.000000e+000	3.600039e+000	1.062794e-005	1.386970e-006
6.940018334053455e-008	0.000000e+000	3.600139e+000	1.037208e-005	1.375850e-006
6.958573021553455e-008	0.000000e+000	3.600028e+000	1.012333e-005	1.363399e-006
6.977127709053454e-008	0.000000e+000	3.599988e+000	9.888966e-006	1.353366e-006
6.995682396553454e-008	0.000000e+000	3.600005e+000	9.662042e-006	1.342692e-006
7.014237084053454e-008	0.000000e+000	3.599996e+000	9.446815e-006	1.333589e-006
7.032791771553453e-008	0.000000e+000	3.600002e+000	9.238802e-006	1.324230e-006
7.051346459053453e-008	0.000000e+000	3.599998e+000	9.040640e-006	1.315916e-006
7.069901146553453e-008	0.000000e+000	3.600000e+000	8.849287e-006	1.307554e-006
7.088455834053452e-008	0.000000e+000	3.599998e+000	8.666350e-006	1.299908e-006
7.107010521553452e-008	0.000000e+000	3.599999e+000	8.489743e-006	1.292320e-006
7.125565209053452e-008	0.000000e+000	3.599999e+000	8.320430e-006	1.285239e-006
7.144119896553451e-008	0.000000e+000	3.599999e+000	8.156947e-006	1.278267e-006
7.162674584053451e-008	0.000000e+000	3.599999e+000	7.999860e-006	1.271665e-006
7.181229271553451e-008	0.000000e+000	3.599999e+000	7.848137e-006	1.265191e-006
7.199783959053450e-008	0.000000e+000	3.599999e+000	7.702050e-006	1.258997e-006
7.218338646553450e-008	0.000000e+000	3.599999e+000	7.560813e-006	1.252934e-006
7.236893334053450e-008	0.000000e+000	3.599999e+000	7.424657e-006	1.247090e-006
7.274002709053449e-008	0.000000e+000	3.599999e+000	7.165771e-006	1.235828e-006
7.311112084053448e-008	0.000000e+000	3.600000e+000	6.923629e-006	1.225120e-006
7.345570789410591e-008	0.000000e+000	3.600000e+000	6.714507e-006	1.215686e-006
7.380029494767733e-008	0.000000e+000	3.600000e+000	6.515250e-006	1.206532e-006
7.414488200124875e-008	0.000000e+000	3.600000e+000	6.325861e-006	1.197659e-006
7.448946905482016e-008	0.000000e+000	3.600000e+000	6.146338e-006	1.189066e-006
7.483405610839159e-008	0.000000e+000	3.600000e+000	5.976681e-006	1.180752e-006
7.517864316196301e-008	0.000000e+000	3.600000e+000	5.816891e-006	1.172719e-006
7.552323021553444e-008	0.000000e+000	3.600000e+000	5.666967e-006	1.164966e-006
7.674253825124871e-008	0.000000e+000	3.600000e+000	5.212128e-006	1.139360e-006
7.796184628696296e-008	0.000000e+000	3.600000e+000	4.801865e-006	1.114987e-006
7.918115432267723e-008	0.000000e+000	3.600000e+000	4.436178e-006	1.091847e-006
8.040046235839149e-008	0.000000e+000	3.600000e+000	4.115069e-006	1.069939e-006
